year,Coal,Oil,Gas,Nuclear,Hydro,Wind,Solar,Biomass,Waste,Interconnectors
2008,118.05,5.89,172.99,47.67,5.11,7.14,0,1.1438,8.1761,11.02
2009,97.8,5.37,163.46,62.76,5.2,9.281,0.02,3.004,8.578,2.86
2010,102.18,4.31,172.45,56.44,3.57,10.286,0.04,4.047,9.2,2.66
2011,103.01,2.81,143.81,62.66,5.65,15.963,0.244,4.864,9.534,6.22
2012,135.52,2.58,98.26,63.95,5.29,19.847,1.354,5.877,10.287,11.86
2013,123.58,1.87,94.03,64.13,4.67,28.397,2.01,9.17,10.411,14.43
2014,95.08,1.75,99,57.9,5.83,31.96,4.054,13.209,11.333,20.52
2015,71.99,1.85,98,63.89,6.25,40.275,7.533,18.775,13.067,21.11
2016,29.1,1.71,140.61,65.15,5.56,37.263,10.411,18.939,13.867,17.75
2017,21.37,1.48,134.24,63.89,5.86,50.004,11.525,20.113,15.241,14.76
2018,15.97,1.53,129.07,59.1,5.4,57.115,12.922,24.257,14.888,19.11
2020,0,0,96,35,5,171,27,23,8,0
